code;nom;yahoo;isin;zone;risque
BNK;STOXX Europe 600 Banks;BNK.PA;LU1834983477;Europe;6
GRE;MSCI Greece;GRE.PA;FR0010405431;Europe;7
CS1;IBEX 35;CS1.PA;FR0010655746;Europe;5
MIBA;FTSE MIB;MIBA.MI;FR0014002H76;Europe;5
SEL;STOXX Europe Select Dividend 30;SEL.PA;LU1812092168;Europe;4
VAL;MSCI EMU Value Factor;VAL.PA;LU1598690169;Europe;4
CD8;MSCI EMU High Dividend;CD8.PA;FR0010717090;Europe;4
PTPXE;Japan TOPIX;PTPXE.PA;FR0013411980;Japon;5
RS2K;Russell 2000;RS2K.PA;LU1681038672;USA;6
C50;EURO STOXX 50;C50.PA;LU1681047236;Europe;5
DCAM;MSCI World;DCAM.PA;FR001400U5Q4;Monde;5
PSP5;S&P 500;PSP5.PA;FR0011871128;USA;5
PCEU;MSCI Europe;PCEU.PA;FR0013412038;Europe;5
CG1;DAX;CG1.PA;FR0010655712;Allemagne;5
EXS3;MDAX;EXS3.DE;DE0005933923;Allemagne;6
HLT;STOXX Europe 600 Health Care;HLT.PA;LU1834986900;Europe;4
PUST;Nasdaq 100;PUST.PA;FR0011871110;USA;7
PAEEM;MSCI Emerging Markets;PAEEM.PA;FR0013412020;Emergents;7
BRES;STOXX Europe 600 Basic Resources;BRES.PA;LU1834983550;Europe;7
PALAT;MSCI Latin America;PALAT.PA;FR0013412004;Amérique Latine;8
PINR;MSCI India;PINR.PA;FR0011869320;Inde;8
PASI;MSCI China;PASI.PA;FR0011871078;Chine;8
